ID,vote,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
38,No,Rural,Yes,4,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
39,No,Urban,Yes,2,49,Female,Head of Household,Widowed,Primary education,Informally employed
40,No,Rural,No,1,18,Male,Other relative,Divorced/Seperated,Secondary education,No Income
41,No,Urban,Yes,2,31,Male,Head of Household,Single/Never Married,Primary education,Self employed
42,No,Rural,Yes,3,28,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
43,No,Urban,Yes,6,45,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
44,No,Rural,No,6,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
45,No,Urban,Yes,1,29,Male,Head of Household,Divorced/Seperated,No formal education,Self employed
46,No,Urban,Yes,5,55,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
47,No,Urban,Yes,1,66,Male,Head of Household,Widowed,Primary education,Self employed
48,No,Rural,No,7,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
49,No,Urban,Yes,2,23,Female,Spouse,Married/Living together,Primary education,Informally employed
50,No,Rural,Yes,1,54,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
51,No,Rural,Yes,4,59,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
52,No,Rural,Yes,4,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
53,No,Urban,No,3,65,Male,Head of Household,Single/Never Married,No formal education,Informally employed
54,No,Urban,Yes,9,17,Male,Parent,Single/Never Married,Vocational/Specialised training,Self employed
55,No,Rural,Yes,2,38,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
56,No,Rural,Yes,4,19,Female,Spouse,Married/Living together,Primary education,Other Income
57,Yes,Rural,Yes,4,22,Female,Spouse,Married/Living together,Primary education,Self employed
58,No,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,Primary education,Self employed
59,No,Urban,No,2,70,Male,Head of Household,Single/Never Married,Primary education,Self employed
60,No,Urban,No,1,32,Female,Head of Household,Single/Never Married,Primary education,Informally employed
61,No,Urban,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
62,Yes,Rural,Yes,6,44,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
63,No,Urban,Yes,3,30,Male,Head of Household,Married/Living together,No formal education,Self employed
64,No,Rural,Yes,2,63,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
65,No,Rural,No,3,75,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
66,No,Urban,Yes,8,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
67,Yes,Urban,Yes,1,40,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
68,Yes,Rural,Yes,3,23,Female,Head of Household,Single/Never Married,Secondary education,Self employed
69,No,Urban,No,2,52,Female,Spouse,Single/Never Married,Primary education,Self employed
70,No,Urban,Yes,1,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
71,No,Urban,Yes,3,29,Female,Head of Household,Widowed,No formal education,Remittance Dependent
72,No,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
73,No,Rural,Yes,3,18,Male,Other non-relatives,Single/Never Married,No formal education,Formally employed Private
74,No,Urban,Yes,5,19,Female,Parent,Single/Never Married,Secondary education,No Income
75,No,Rural,Yes,2,24,Female,Head of Household,Widowed,Primary education,Farming and Fishing
76,No,Urban,Yes,3,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
77,No,Rural,Yes,4,67,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
78,No,Urban,Yes,2,48,Female,Head of Household,Single/Never Married,Primary education,Self employed
79,No,Urban,Yes,4,37,Male,Head of Household,Married/Living together,Primary education,Other Income
80,Yes,Rural,Yes,1,37,Female,Head of Household,Married/Living together,Secondary education,Self employed
81,No,Rural,Yes,3,43,Female,Spouse,Married/Living together,Secondary education,Self employed
82,No,Rural,Yes,3,62,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
83,No,Urban,No,2,26,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
84,No,Rural,Yes,5,21,Female,Spouse,Married/Living together,Primary education,Informally employed
85,No,Rural,No,2,95,Female,Head of Household,Widowed,No formal education,Remittance Dependent
86,No,Rural,Yes,6,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
87,Yes,Urban,Yes,2,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
88,No,Rural,Yes,3,42,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
89,No,Rural,No,8,40,Female,Spouse,Married/Living together,No formal education,Self employed
90,No,Rural,Yes,4,57,Female,Head of Household,Widowed,No formal education,Farming and Fishing
91,No,Rural,Yes,1,22,Female,Head of Household,Divorced/Seperated,Tertiary education,Remittance Dependent
92,Yes,Rural,Yes,1,69,Male,Head of Household,Widowed,Primary education,Farming and Fishing
93,No,Urban,Yes,4,44,Female,Head of Household,Widowed,Secondary education,Other Income
94,No,Rural,Yes,3,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing
95,No,Rural,Yes,3,35,Female,Head of Household,Widowed,No formal education,Informally employed
96,Yes,Urban,Yes,7,42,Male,Spouse,Married/Living together,Primary education,Informally employed
97,No,Urban,Yes,2,35,Female,Head of Household,Widowed,Primary education,Informally employed
98,No,Rural,Yes,3,79,Male,Head of Household,Married/Living together,Primary education,Self employed
99,No,Rural,No,3,20,Female,Spouse,Married/Living together,Primary education,Other Income
100,No,Rural,Yes,3,23,Male,Head of Household,Married/Living together,Primary education,Other Income
101,No,Rural,Yes,4,24,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
102,No,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
103,No,Urban,Yes,5,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
104,Yes,Rural,No,2,24,Female,Head of Household,Widowed,No formal education,Farming and Fishing
105,Yes,Urban,Yes,1,53,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
106,No,Urban,Yes,2,40,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
107,No,Rural,No,9,20,Male,Child,Single/Never Married,Secondary education,Informally employed
108,No,Urban,No,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed
109,No,Rural,Yes,7,25,Female,Child,Single/Never Married,Primary education,Farming and Fishing
110,No,Urban,No,1,80,Female,Head of Household,Widowed,No formal education,Remittance Dependent
111,Yes,Rural,Yes,9,46,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
112,No,Urban,Yes,6,17,Female,Other non-relatives,Single/Never Married,Secondary education,Informally employed
113,No,Urban,No,4,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
114,No,Urban,Yes,7,46,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
115,Yes,Rural,Yes,1,34,Female,Head of Household,Married/Living together,Tertiary education,Remittance Dependent
116,No,Rural,Yes,6,43,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
117,No,Urban,No,2,28,Female,Spouse,Single/Never Married,Primary education,Self employed
118,No,Urban,Yes,2,33,Female,Spouse,Single/Never Married,Primary education,Self employed
119,No,Urban,Yes,2,32,Female,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
120,No,Rural,No,6,16,Male,Parent,Single/Never Married,Primary education,Other Income
121,No,Urban,No,3,80,Male,Child,Widowed,Vocational/Specialised training,Remittance Dependent
122,Yes,Rural,Yes,6,35,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
123,No,Rural,Yes,4,26,Female,Other relative,Single/Never Married,Secondary education,Informally employed
124,No,Rural,Yes,3,76,Female,Head of Household,Widowed,No formal education,Remittance Dependent
125,No,Rural,Yes,2,17,Male,Child,Single/Never Married,Primary education,Informally employed
126,No,Rural,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Informally employed
127,No,Rural,Yes,4,50,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
128,No,Urban,Yes,4,41,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
129,No,Urban,No,3,32,Female,Spouse,Single/Never Married,Primary education,Self employed
130,No,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Other Income
131,No,Rural,Yes,7,46,Female,Spouse,Married/Living together,No formal education,Informally employed
132,No,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
133,No,Urban,No,1,35,Female,Spouse,Single/Never Married,Primary education,Self employed
134,No,Rural,No,2,85,Female,Head of Household,Widowed,No formal education,Remittance Dependent
135,No,Rural,Yes,6,38,Female,Spouse,Married/Living together,No formal education,Informally employed
136,No,Urban,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
137,No,Rural,Yes,2,69,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
138,No,Urban,Yes,3,45,Female,Spouse,Single/Never Married,Primary education,Informally employed
139,No,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Other Income
140,No,Rural,Yes,1,26,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
141,No,Rural,No,4,60,Male,Head of Household,Married/Living together,No formal education,Other Income
142,No,Rural,Yes,2,31,Female,Spouse,Single/Never Married,Tertiary education,Self employed
143,No,Urban,Yes,1,21,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
144,No,Rural,No,7,42,Female,Head of Household,Widowed,No formal education,Informally employed
145,No,Rural,No,2,30,Female,Spouse,Single/Never Married,No formal education,Self employed
146,No,Rural,Yes,2,61,Female,Head of Household,Widowed,Primary education,Farming and Fishing
147,No,Rural,Yes,5,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
148,No,Rural,Yes,6,22,Female,Child,Single/Never Married,Primary education,Informally employed
149,No,Urban,No,4,25,Female,Parent,Single/Never Married,No formal education,Self employed
150,No,Urban,Yes,5,25,Female,Spouse,Married/Living together,Secondary education,Dont Know/Refuse to answer
151,No,Rural,Yes,6,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
152,No,Rural,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Informally employed
153,No,Urban,Yes,1,85,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
154,No,Rural,Yes,6,27,Female,Spouse,Married/Living together,Primary education,Informally employed
155,Yes,Rural,Yes,3,26,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
156,No,Rural,No,6,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
157,No,Rural,Yes,5,62,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
158,No,Urban,No,5,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
159,No,Urban,No,3,26,Female,Head of Household,Married/Living together,Primary education,Informally employed
160,No,Rural,No,3,59,Male,Head of Household,Married/Living together,Primary education,Informally employed
161,No,Rural,No,4,26,Female,Spouse,Married/Living together,Primary education,Informally employed
162,Yes,Rural,Yes,4,27,Male,Parent,Single/Never Married,Tertiary education,Formally employed Private
163,Yes,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
164,No,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Informally employed
165,No,Urban,Yes,4,45,Female,Head of Household,Married/Living together,Tertiary education,Self employed
166,No,Rural,No,2,23,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
167,No,Urban,No,8,27,Female,Spouse,Single/Never Married,Primary education,No Income
168,No,Urban,No,3,36,Female,Spouse,Single/Never Married,Primary education,No Income
169,No,Rural,No,4,68,Female,Head of Household,Widowed,Primary education,Other Income
170,No,Rural,No,1,17,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
171,No,Urban,No,1,30,Female,Head of Household,Single/Never Married,No formal education,Self employed
172,No,Urban,No,2,66,Male,Head of Household,Single/Never Married,Primary education,Self employed
173,No,Rural,No,8,18,Female,Parent,Single/Never Married,Secondary education,Other Income
174,No,Rural,No,4,43,Female,Head of Household,Widowed,No formal education,Informally employed
175,No,Urban,Yes,2,26,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
176,No,Urban,Yes,2,30,Female,Spouse,Married/Living together,Tertiary education,Formally employed Private
177,No,Urban,Yes,2,27,Male,Parent,Divorced/Seperated,Primary education,Self employed
178,No,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
179,No,Urban,Yes,6,20,Male,Child,Divorced/Seperated,Primary education,Self employed
180,No,Rural,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Self employed
181,No,Urban,Yes,3,22,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
182,No,Rural,No,1,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
183,No,Rural,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
184,No,Rural,Yes,3,74,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
185,Yes,Rural,Yes,9,45,Female,Spouse,Married/Living together,Secondary education,Self employed
186,No,Urban,No,2,41,Female,Spouse,Single/Never Married,Primary education,Informally employed
187,No,Rural,Yes,4,56,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
188,No,Rural,Yes,3,36,Female,Head of Household,Widowed,Secondary education,Formally employed Government
189,No,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
190,No,Rural,No,1,60,Female,Head of Household,Widowed,Primary education,Remittance Dependent
191,No,Urban,Yes,5,16,Male,Child,Single/Never Married,Primary education,Informally employed
192,No,Rural,Yes,4,79,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
193,No,Rural,No,1,70,Female,Head of Household,Widowed,No formal education,Government Dependent
194,No,Rural,No,1,55,Male,Head of Household,Single/Never Married,Primary education,Other Income
195,Yes,Urban,Yes,4,62,Male,Head of Household,Married/Living together,Secondary education,Self employed
196,Yes,Rural,Yes,3,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
197,Yes,Urban,Yes,1,58,Male,Head of Household,Married/Living together,Secondary education,Self employed
198,No,Urban,Yes,3,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
199,No,Rural,Yes,9,44,Male,Head of Household,Married/Living together,No formal education,Other Income
200,No,Rural,No,7,46,Female,Spouse,Married/Living together,No formal education,Informally employed
201,No,Rural,Yes,5,47,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
202,No,Urban,No,2,85,Female,Child,Widowed,No formal education,No Income
203,No,Rural,Yes,7,18,Male,Child,Single/Never Married,Primary education,Farming and Fishing
204,No,Urban,Yes,3,26,Female,Child,Single/Never Married,Primary education,Farming and Fishing
205,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Informally employed
206,Yes,Urban,Yes,4,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
207,Yes,Urban,Yes,6,20,Male,Parent,Single/Never Married,Primary education,Self employed
208,No,Rural,Yes,7,23,Male,Child,Single/Never Married,Primary education,Farming and Fishing
209,No,Rural,No,2,24,Male,Head of Household,Married/Living together,Primary education,Self employed
210,No,Rural,Yes,1,35,Male,Head of Household,Married/Living together,Secondary education,Self employed
211,No,Urban,No,2,34,Male,Head of Household,Single/Never Married,Primary education,Self employed
212,Yes,Rural,Yes,6,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
213,No,Urban,No,2,29,Female,Spouse,Single/Never Married,Primary education,Self employed
214,No,Rural,Yes,2,51,Female,Head of Household,Widowed,No formal education,Farming and Fishing
215,No,Urban,Yes,4,21,Female,Other relative,Single/Never Married,Primary education,Farming and Fishing
216,No,Urban,Yes,1,26,Male,Other relative,Widowed,Primary education,Informally employed
217,No,Urban,Yes,2,56,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
218,No,Urban,Yes,1,48,Female,Head of Household,Widowed,Primary education,Self employed
219,No,Urban,Yes,2,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
220,No,Urban,Yes,3,77,Female,Head of Household,Widowed,No formal education,Government Dependent
221,No,Rural,Yes,2,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
222,Yes,Rural,Yes,1,28,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Government
223,No,Urban,No,3,63,Male,Head of Household,Single/Never Married,Primary education,Self employed
224,No,Rural,No,5,38,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
225,Yes,Rural,Yes,3,20,Female,Spouse,Married/Living together,Primary education,Self employed
226,No,Rural,Yes,5,23,Male,Other relative,Married/Living together,Primary education,Formally employed Private
227,No,Rural,Yes,1,54,Female,Head of Household,Widowed,Primary education,Farming and Fishing
228,No,Rural,No,1,54,Female,Head of Household,Widowed,Primary education,Informally employed
229,No,Urban,Yes,4,21,Female,Spouse,Married/Living together,Primary education,Self employed
230,No,Rural,Yes,3,65,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
231,No,Rural,Yes,1,56,Female,Head of Household,Widowed,Primary education,Farming and Fishing
232,No,Rural,No,6,20,Male,Other relative,Single/Never Married,Primary education,Other Income
233,No,Rural,Yes,2,22,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
234,No,Urban,No,5,44,Male,Head of Household,Married/Living together,Secondary education,Informally employed
235,No,Urban,Yes,2,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
236,No,Urban,Yes,4,50,Male,Head of Household,Married/Living together,Secondary education,Self employed
237,No,Rural,Yes,2,56,Female,Head of Household,Widowed,Primary education,Farming and Fishing
238,No,Rural,Yes,3,52,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
239,No,Urban,No,1,82,Female,Head of Household,Widowed,No formal education,Remittance Dependent
240,No,Urban,Yes,2,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
241,No,Urban,No,2,27,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
242,No,Rural,Yes,2,27,Female,Head of Household,Single/Never Married,Primary education,Informally employed
243,No,Urban,Yes,1,66,Male,Head of Household,Married/Living together,Tertiary education,Self employed
244,No,Rural,Yes,8,45,Male,Head of Household,Married/Living together,No formal education,Informally employed
245,No,Urban,No,3,22,Female,Spouse,Married/Living together,Primary education,Other Income
246,No,Rural,Yes,2,35,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
247,No,Rural,No,3,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
248,No,Rural,Yes,2,30,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
249,No,Rural,Yes,5,61,Female,Spouse,Married/Living together,Primary education,Informally employed
250,No,Rural,No,3,53,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
251,No,Rural,Yes,2,30,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
252,No,Rural,Yes,3,26,Female,Head of Household,Single/Never Married,Primary education,Informally employed
253,No,Rural,Yes,4,23,Female,Parent,Divorced/Seperated,Primary education,Remittance Dependent
254,No,Urban,No,1,16,Male,Parent,Divorced/Seperated,Primary education,Self employed
255,No,Rural,Yes,2,23,Female,Head of Household,Single/Never Married,Primary education,Informally employed
256,No,Rural,Yes,2,57,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
257,No,Urban,Yes,2,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
258,No,Rural,Yes,1,23,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
259,No,Urban,No,2,34,Female,Spouse,Single/Never Married,Primary education,Self employed
260,No,Urban,Yes,6,33,Female,Spouse,Married/Living together,Secondary education,Self employed
261,No,Rural,Yes,4,33,Female,Head of Household,Married/Living together,Primary education,Self employed
262,Yes,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
263,No,Rural,Yes,4,29,Female,Child,Single/Never Married,Primary education,Farming and Fishing
264,No,Rural,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Informally employed
265,No,Urban,Yes,4,53,Female,Head of Household,Widowed,No formal education,Farming and Fishing
266,Yes,Rural,Yes,1,42,Female,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
267,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
268,No,Rural,Yes,6,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
269,No,Rural,Yes,7,54,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
270,No,Rural,No,1,70,Female,Head of Household,Widowed,No formal education,Government Dependent
271,No,Urban,Yes,5,50,Female,Spouse,Married/Living together,Primary education,Self employed
272,No,Urban,Yes,6,28,Female,Head of Household,Married/Living together,No formal education,Self employed
273,No,Rural,No,1,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
274,Yes,Rural,Yes,7,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
275,No,Rural,Yes,6,25,Female,Parent,Single/Never Married,Primary education,Self employed
276,No,Rural,Yes,6,43,Male,Head of Household,Married/Living together,Secondary education,Other Income
277,No,Urban,Yes,2,23,Female,Parent,Divorced/Seperated,Primary education,Self employed
278,No,Rural,No,8,31,Female,Spouse,Married/Living together,Primary education,Self employed
279,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
280,Yes,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
281,No,Urban,No,2,95,Male,Head of Household,Single/Never Married,Primary education,Self employed
282,No,Rural,Yes,5,17,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
283,No,Urban,No,2,35,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
284,No,Rural,Yes,5,26,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
285,No,Rural,Yes,1,62,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
286,No,Urban,Yes,5,54,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
287,No,Rural,Yes,2,39,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
288,No,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
289,No,Urban,Yes,1,26,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
290,No,Rural,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
291,No,Rural,Yes,4,63,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
292,No,Urban,Yes,5,20,Female,Parent,Single/Never Married,Secondary education,Informally employed
293,Yes,Rural,Yes,1,23,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
294,No,Urban,Yes,4,24,Male,Other relative,Single/Never Married,Vocational/Specialised training,Farming and Fishing
295,No,Rural,Yes,4,62,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
296,No,Rural,Yes,5,26,Male,Parent,Divorced/Seperated,Tertiary education,Formally employed Private
297,No,Rural,No,3,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
298,No,Rural,Yes,8,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
299,No,Rural,Yes,2,48,Female,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
300,No,Urban,Yes,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
301,No,Urban,Yes,2,27,Female,Head of Household,Single/Never Married,Primary education,Other Income
302,No,Rural,Yes,7,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
303,No,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Self employed
304,No,Rural,Yes,3,51,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
305,No,Rural,No,13,65,Female,Head of Household,Widowed,No formal education,Self employed
306,Yes,Rural,Yes,1,28,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
307,No,Rural,Yes,5,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
308,No,Rural,No,3,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
309,Yes,Urban,Yes,2,33,Female,Head of Household,Single/Never Married,Secondary education,Self employed
310,No,Urban,No,3,47,Female,Spouse,Single/Never Married,Primary education,Self employed
311,No,Urban,Yes,1,27,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
312,No,Urban,Yes,4,21,Male,Child,Divorced/Seperated,Secondary education,Self employed
313,No,Rural,Yes,4,47,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
314,No,Rural,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
315,No,Urban,Yes,3,35,Female,Spouse,Single/Never Married,No formal education,Self employed
316,No,Rural,No,5,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
